lane,module,symbol,kind,lines,verdict,evidence,callers_src,callers_live,callers_dead_scripts,callers_oneshot,callers_tests,traced,audit
root,__init__,(module),module,29,refactor,"29-line package docstring lists 8 subpackages; there are 9 — `studies` missing. `tests/test_imports.py:17-27` carries the same 8-entry list, so no test notices. Exports only `__version__`.",(root package docstring; exports only __version__),,,,t:test_imports[8-entry list mirrors it],not in trace,02
data,configs/__init__,(module),module,1,refactor,One docstring line; names 'embedded_cols normalization' as if it were a second module when it is a function in panel_config.,data_preparation/dynamic_panel_dataset studies/analysis,sc:run_studies nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,,sc:verify_transformer_training,t:test_golden_end_to_end t:test_studies_analysis,not in trace,02
data,configs/panel_config,(module),module,494,refactor,"494 lines. 4 encodings of the time-flag set (_KNOWN_TIME_FLAGS/_COMPATIBLE_TIME_FLAGS/_FLAG_TIME_COLUMNS + add_time_features' if/elif) already drifted (orphan `dayofyear` column); 2 config->dict views (.data_config superseded by .to_dict per its own docstring, yet .data_config is what prepare_dataset consumes); feature roles named twice (fields vs .schema); .schema emits 5 of the 6 groups _SCHEMA_GROUP_ORDER lists; validates a time flag against `frequency` but never the period column, so PanelConfig(frequency='weekly', time_cols=('year','month')) is accepted silently (Study.ipynb cell 8 contains exactly that mistake). No dedicated test.",data_preparation/dynamic_panel_dataset studies/analysis,sc:run_studies nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,,sc:verify_transformer_training,t:test_golden_end_to_end t:test_studies_analysis,7/9 symbols traced,02
data,configs/panel_config,normalize_embedded_cols,function,,refactor,"Live across the configs->data_preparation boundary (imported at dynamic_panel_dataset.py:76, called :153/:400). Its list/tuple/set branch (:172-173) has no caller — every caller passes a dict. NOTE audit 02's over-exposure table records 'external callers: none', which is wrong at module granularity; see conflict C6.",data_preparation/dynamic_panel_dataset[call+import],,,,,reached,02
data,configs/panel_config,PanelConfig,class,,keep,The package's config authority — every live entry point constructs one. ADR-honoured seam (priority 3).,data_preparation/dynamic_panel_dataset[call+import] studies/analysis[import],sc:run_studies[call+import] nb:Data_integration_LSTM_v2[call+import] nb:Data_integration_TRANSFORMER_v2[call+import] nb:Pareto_Datasets[call+import] nb:Study[call+import],,sc:verify_transformer_training[call+import],t:test_golden_end_to_end[call+import] t:test_studies_analysis[call+import],n/a (class/constant not traced),02
data,configs/panel_config,PanelConfig.data_config,method,,refactor,"Vestigial dict adapter from the four-loose-dicts era: sole consumer is prepare_dataset (:617), which then reads everything through config.get(...) because .data_config emits optional keys conditionally. .to_dict's docstring says it 'supersedes' this view. Audit 02 called it vestigial without choosing kill vs fold.",data_preparation/dynamic_panel_dataset[read :617],,,,,reached,02
data,configs/panel_config,PanelConfig.to_dict,method,,keep,Written into each suite's config.json by studies/runner and round-tripped by PanelConfig.from_dict — on-disk floor (map floor item 3). Unreached by the golden trace because the trace runs no suite.,studies/runner[call],,,,t:test_studies_analysis[call],unreached,02
data,configs/panel_config,PanelConfig.from_dict,method,,keep,"No audit ruled on it. Mechanical: sole src caller `studies/analysis.py:254`, rebuilding a PanelConfig from an archived config.json — on-disk floor. Round-trip asserted by tests/test_studies_analysis.py:384-388.",studies/analysis[call],,,,t:test_studies_analysis[call],unreached,none
data,configs/panel_config,PanelConfig.schema,method,,refactor,"Renames the four role fields into TFT spellings purely to feed get_seq_cols; emits 5 of the 6 groups _SCHEMA_GROUP_ORDER declares (prepare_dataset:718-719 injects `ar_features`), so 'a schema' means one thing inside prepare_dataset and another outside. Carries `observed_past_time_varying_inputs`, a role emptied with a warning at dynamic_panel_dataset.py:701-712.",data_preparation/dynamic_panel_dataset[read :605],,,,,reached,02
data,data_preparation/__init__,(module),module,14,refactor,"14 lines documenting 2 of its 3 modules (`pareto_simulation` absent) and asserting that panel building 'now lives outside the package — see notebooks/archive/dataset_building.ipynb', pointing at the frozen archive, while pareto_simulation.py in this very package builds panels.",configs/panel_config data_preparation/dynamic_panel_dataset models/monte_carlo_forecasting studies/analysis studies/pnbd_grid,sc:run_studies nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,,sc:make_grid_figures sc:recheck_season_churn sc:verify_transformer_training sc:trace_golden_reachability,t:test_ar_features t:test_golden_end_to_end,not in trace,02
data,data_preparation/ar_features,(module),module,225,keep,"225 lines, the lane's only well-tested module (tests/test_ar_features.py, 171 lines, incl. the leak-free precompute==rollout equivalence). 4 of the 7 supported AR features are never requested by any config (tested-but-unused).",configs/panel_config data_preparation/dynamic_panel_dataset models/monte_carlo_forecasting,,,,t:test_ar_features,7/7 symbols traced,02
data,data_preparation/ar_features,parse_ar_feature,function,,refactor,"Public but called only intra-module (validate_ar_features, _render) plus tests — over-exposed.",,,,,t:test_ar_features[call+import],reached,02
data,data_preparation/ar_features,validate_ar_features,function,,keep,Called from configs/panel_config and dynamic_panel_dataset.,configs/panel_config[call+import] data_preparation/dynamic_panel_dataset[call+import],,,,t:test_ar_features[call+import],reached,02
data,data_preparation/ar_features,compute_ar_feature_columns,function,,keep,The leak-free precompute; called by prepare_dataset.,data_preparation/dynamic_panel_dataset[call+import],,,,t:test_ar_features[call+import],reached,02
data,data_preparation/ar_features,ARFeatureState,class,,keep,"No audit ruled on it by name. Mechanical: the rollout-side AR seam, constructed twice in models/monte_carlo_forecasting.py (:147, :246) and pinned by tests/test_ar_features.py:126-167. Load-bearing for feature_engineering.md's leakage contract.",models/monte_carlo_forecasting[call+import],,,,t:test_ar_features[call+import],n/a (class/constant not traced),none
data,data_preparation/dynamic_panel_dataset,(module),module,1030,refactor,"1030 lines, the largest module in the package. No internal split, but audit 02 measured six clean seam groups (schema/embedding resolution, calendar, validation, cohort, tensorisation, orchestration); only the calendar group is coupled to `frequency` and the tensorisation group touches neither pandas nor config. prepare_dataset alone is 422 lines in 17 lettered steps (1,2,2b,3,4,5,5a-pre,5a,5a-bis,5b,5c,6,6b,7,7b,8,8b) — the record of where each later concern was inserted. No dedicated test.",studies/analysis,sc:run_studies nb:Data_integration_LSTM_v2 nb:Data_integration_TRANSFORMER_v2 nb:Pareto_Datasets nb:Study,,sc:verify_transformer_training sc:trace_golden_reachability,t:test_golden_end_to_end,13/13 symbols traced,02
data,data_preparation/dynamic_panel_dataset,get_seq_cols,function,,refactor,"Public, sole caller prepare_dataset — over-exposed (audit 02 §1 table).",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,resolve_embedded_cols,function,,refactor,"Public, sole caller prepare_dataset. Its pinned-int coverage check (:186-192) guards a path no live config uses — every embedded_cols spec in the repo is all-'auto'.",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,add_time_features,function,,refactor,"Public, sole caller prepare_dataset. Its three frequency-incompatibility `raise ValueError` branches (:277-280,:287-290,:295-298) cannot fire — PanelConfig._resolve_time_features has already warn-and-dropped every incompatible flag, so the two layers hold opposite policies and only the outer is observed. Creates a bare `dayofyear` column (:300) that no role claims. Hardcoded divisors 52/12/365 (the last ignores leap years); only the weekly branch honours periods_per_year. Whole daily branch unexercised.",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,add_period_start,function,,refactor,"Public, sole caller prepare_dataset. Weekly arithmetic assumes week 0 == Jan 1 and a uniform 7-day step (:325-328), so periods drift against the calendar and a 1-indexed/ISO week 52 lands on Dec 31; nothing checks that a panel's week column matches the convention it assumes. One of the 4 week-index conventions (dup D7).",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,validate_columns,function,,refactor,"Public, sole caller prepare_dataset — over-exposed.",,,,,,reached,02
data,data_preparation/dynamic_panel_dataset,warn_known_future_drift,function,,refactor,"Public, sole caller prepare_dataset; untested.",,,,,,reached,02
